english word,turkish meaning,word level
rumble, gürlemek,B1
ruminate, derin düşünmek,C1
rummage, karıştırmak,C1
rumor, söylenti yaymak,B2
run, koşmak,A1
rupture, yırtılmak,C1
rush, acele etmek,A2
rust, paslanmak,B1
rustle, hışırdamak,B1
sabotage, sabotaj yapmak,B2
sack, kovmak,B2
sacrifice, feda etmek,B1
saddle, eyerlemek,B1
safeguard, korumak,B2
sag, sarkmak,B2
sail, yelken açmak,A2
sally, çıkış yapmak,C1
salt, tuzlamak,A2
salute, selamlamak,B1
salvage, kurtarmak,B2
sample, örneklemek,B1
sanction, yaptırım uygulamak,B2
sand, zımparalamak,B1
sandwich, sıkıştırmak,B2
sap, zayıflatmak,C1
sate, doyurmak,C1
satiate, doyurmak,C1
satirize, alay etmek,C1
satisfy, tatmin etmek,A2
saturate, doyurmak,B2
saunter, ağır ağır yürümek,C1
savage, saldırmak,C1
save, kurtarmak,A1
savor, tadını çıkarmak,B2
saw, testereyle kesmek,B1
say, söylemek,A1
scald, haşlamak,B1
scale, ölçeklendirmek,B1
scamper, koşuşturmak,C1
scan, taramak,B1
scare, korkutmak,A2
scatter, dağıtmak,B1
scavenge, leş toplamak,C1
schedule, programlamak,A2
school, okul,C1
scoff, alay etmek,B2
scold, azarlamak,B1
scoop, kepçelemek,B1
scorch, kavurmak,B1
score, skor yapmak,A2
scorn, küçümsemek,B2
scour, araştırmak,C1
scout, keşif yapmak,B1
scowl, kaş çatmak,B1
scramble, tırmanmak,B2
scrap, hurdaya çıkarmak,B2
scrape, kazımak,B1
scratch, kaşımak,A2
scream, çığlık atmak,A2
screech, çığlık atmak,B1
screen, taramak,B1
screw, vida,B1
